,OBJECTID,SEQ_ID,DRIVER_ID,DEVICE_ID,INVOKE_CODE,STATUS,HEADING,GPS_STATUS,LOCATION_MESSAGE,MAP_HEADING,PVT_TYPE,VEHICLE_LABEL,SPEED,DIRECTION,STOP_DURATION,LONGITUDE,LATITUDE,LOCATION_TIME,LOCAL_TIME,DATE,BUILDING_NUMBER,STREET,CITY,STATE_ID,ZIP,CROSS_STREET,COUNTRY,LOCATION
137274,5346387,63417714,NCID,319047,8,0,324,0,MB2769-H11202 02/07/2015 12:03:29 AM EST 5 mph,5.8,MOVING UPDATE,MB2769-H11202,5.592,NW,0,-71.10252194,42.31554778,2015-02-07 05:03:29.0000000,2015-02-07 00:03:29.0000000,02/07/15,173,00:03:29.00,BOSTON,MA,2130,DALRYMPLE ST,US,5346412
137275,5346388,63417722,NCID,446075,8,0,382,1,MB1813-H13203 02/07/2015 12:00:06 AM EST 5 mph,22,MOVING UPDATE,MB1813-H13203,5.592,N,0,-71.06109056,42.31963722,2015-02-07 05:03:24.0000000,2015-02-07 00:03:24.0000000,02/07/15,9,00:03:24.00,BOSTON,MA,2125,E COTTAGE ST,US,5346413
137277,5346390,63417724,NCID,318977,8,0,244,0,MB961-H13310 02/07/2015 12:03:03 AM EST 20 mph,5.6,MOVING UPDATE,MB961-H13310,20.505,SW,0,-71.1009225,42.33557583,2015-02-07 05:03:02.0000000,2015-02-07 00:03:02.0000000,02/07/15,654,00:03:02.00,BOSTON,MA,2115,WORTHINGTON ST,US,5346415
137278,5346394,63417733,NCID,318985,8,0,354,0,MB2962-H13305 02/07/2015 12:03:23 AM EST 5 mph,5.1,MOVING UPDATE,MB2962-H13305,5.592,N,0,-71.05225861,42.35233944,2015-02-07 05:03:22.0000000,2015-02-07 00:03:22.0000000,02/07/15,1,00:03:22.00,BOSTON,MA,2210,CONGRESS ST,US,5346419
137279,5346398,63417739,NCID,440145,3,0,382,0,MB1177-H02301 02/07/2015 12:02:56 AM EST 0 mph,11,MOVING,MB1177-H02301,0,N,50,-71.06137083,42.37316,2015-02-07 05:03:52.0000000,2015-02-07 00:03:52.0000000,02/07/15,72,00:03:52.00,BOSTON,MA,2129,WARREN ST,US,5346423
137280,5346399,63417740,NCID,440145,5,0,156,0,MB1177-H02301 02/07/2015 12:03:53 AM EST 6 mph,11.4,MOVING CONFIRMATION,MB1177-H02301,6.214,SE,0,-71.0608975,42.37270556,2015-02-07 05:03:53.0000000,2015-02-07 00:03:53.0000000,02/07/15,NA,00:03:53.00,BOSTON,MA,2129,PARK ST,US,5346424
137281,5346403,63417745,NCID,440129,8,0,33,0,MB2136-H08202 02/07/2015 12:03:31 AM EST 18 mph,5.2,MOVING UPDATE,MB2136-H08202,18.02,NE,0,-71.11520889,42.30984528,2015-02-07 05:03:29.0000000,2015-02-07 00:03:29.0000000,02/07/15,762,00:03:29.00,BOSTON,MA,2130,GREENOUGH AVE,US,5346428
137282,5346412,63417757,NCID,319097,2,0,355,0,MB2184-H11201 02/07/2015 12:04:26 AM EST 3 mph,5.1,STOP,MB2184-H11201,3.107,N,0,-71.0708475,42.35996556,2015-02-07 05:04:24.0000000,2015-02-07 00:04:24.0000000,02/07/15,148,00:04:24.00,BOSTON,MA,2114,REVERE ST,US,5346437
137283,5346413,63417758,NCID,446075,8,0,382,1,MB1813-H13203 02/07/2015 12:00:06 AM EST 5 mph,22,MOVING UPDATE,MB1813-H13203,5.592,N,0,-71.06109056,42.31963722,2015-02-07 05:04:24.0000000,2015-02-07 00:04:24.0000000,02/07/15,9,00:04:24.00,BOSTON,MA,2125,E COTTAGE ST,US,5346438
137284,5346414,63417759,NCID,318977,8,0,34,0,MB961-H13310 02/07/2015 12:04:38 AM EST 5 mph,5.2,MOVING UPDATE,MB961-H13310,5.592,NE,0,-71.10604083,42.33346694,2015-02-07 05:04:37.0000000,2015-02-07 00:04:37.0000000,02/07/15,4,00:04:37.00,BOSTON,MA,2120,HUNTINGTON AVE,US,5346439
137285,5346415,63417761,NCID,319045,8,0,40,0,MB2274-H12206 02/07/2015 12:03:38 AM EST 22 mph,5.2,MOVING UPDATE,MB2274-H12206,22.991,NE,0,-71.14922361,42.28381806,2015-02-07 05:03:38.0000000,2015-02-07 00:03:38.0000000,02/07/15,97,00:03:38.00,BOSTON,MA,2132,ALLENWOOD ST,US,5346440
137286,5346416,63417762,NCID,319069,2,0,382,0,MB335-H12231 02/07/2015 12:04:34 AM EST 0 mph,5,STOP,MB335-H12231,0,N,0,-71.08942972,42.29770361,2015-02-07 05:04:34.0000000,2015-02-07 00:04:34.0000000,02/07/15,47,00:04:34.00,BOSTON,MA,2124,ANGELL ST,US,5346441
137287,5346417,63417763,NCID,319047,8,0,37,0,MB2769-H11202 02/07/2015 12:04:30 AM EST 12 mph,5.2,MOVING UPDATE,MB2769-H11202,12.427,NE,0,-71.10273,42.31681944,2015-02-07 05:04:29.0000000,2015-02-07 00:04:29.0000000,02/07/15,204,00:04:29.00,BOSTON,MA,2130,BOYLSTON ST,US,5346442
137288,5346420,63417769,NCID,426321,8,0,330,0,SNOW326 02/07/2015 12:02:35 AM EST 19 mph,5.8,MOVING UPDATE,SNOW326,19.884,NW,0,-71.05982778,42.36889778,2015-02-07 05:02:35.0000000,2015-02-07 00:02:35.0000000,02/07/15,NA,00:02:35.00,BOSTON,MA,2114,BOSTON HARBORWALK,US,5346445
137289,5346421,63417779,NCID,426321,8,0,36,0,SNOW326 02/07/2015 12:04:50 AM EST 26 mph,5.2,MOVING UPDATE,SNOW326,26.719,NE,0,-71.05501028,42.37643472,2015-02-07 05:04:50.0000000,2015-02-07 00:04:50.0000000,02/07/15,73,00:04:50.00,BOSTON,MA,2129,VINE ST,US,5346446
137290,5346424,63417787,NCID,318985,8,0,279,0,MB2962-H13305 02/07/2015 12:04:50 AM EST 5 mph,5.7,MOVING UPDATE,MB2962-H13305,5.592,W,0,-71.05268472,42.35478,2015-02-07 05:04:48.0000000,2015-02-07 00:04:48.0000000,02/07/15,1,00:04:48.00,BOSTON,MA,2210,ATLANTIC AVE,US,5346449
137291,5346427,63417790,NCID,440175,3,2,382,0,MB2286-H08221 02/06/2015 11:31:29 PM EST Stop: 0H:33M,29,MOVING,MB2286-H08221,0,,2010,-71.06234694,42.33998917,2015-02-07 05:05:03.0000000,2015-02-07 00:05:03.0000000,02/07/15,NA,00:05:03.00,BOSTON,MA,2118,,US,5346452
137292,5346428,63417791,NCID,440175,5,0,138,0,MB2286-H08221 02/07/2015 12:05:05 AM EST 5 mph,29.4,MOVING CONFIRMATION,MB2286-H08221,5.592,SE,0,-71.06240778,42.33995444,2015-02-07 05:05:04.0000000,2015-02-07 00:05:04.0000000,02/07/15,NA,00:05:04.00,BOSTON,MA,2118,FRONTAGE RD,US,5346453
137293,5346429,63417792,NCID,440129,8,0,186,0,MB2136-H08202 02/07/2015 12:04:33 AM EST 6 mph,5.5,MOVING UPDATE,MB2136-H08202,6.214,S,0,-71.11428056,42.31203472,2015-02-07 05:04:31.0000000,2015-02-07 00:04:31.0000000,02/07/15,685,00:04:31.00,BOSTON,MA,2130,SEAVERNS AVE,US,5346454
137295,5346434,63417799,NCID,426303,5,0,10,0,SNOW317 02/07/2015 12:00:27 AM EST 13 mph,13.1,MOVING CONFIRMATION,SNOW317,13.049,N,0,-71.15674111,42.28426333,2015-02-07 05:00:27.0000000,2015-02-07 00:00:27.0000000,02/07/15,1938,00:00:27.00,BOSTON,MA,2132,MCKENNA TER,US,5346459
137296,5346435,63417800,NCID,426427,8,0,195,0,SNOW379 02/07/2015 12:02:41 AM EST 22 mph,4.5,MOVING UPDATE,SNOW379,22.369,S,0,-71.08664444,42.29944972,2015-02-07 05:02:41.0000000,2015-02-07 00:02:41.0000000,02/07/15,747,00:02:41.00,BOSTON,MA,2121,ESMOND ST,US,5346460
137297,5346437,63417802,NCID,426303,8,0,129,0,SNOW317 02/07/2015 12:04:52 AM EST 13 mph,13.4,MOVING UPDATE,SNOW317,13.049,SE,0,-71.1302625,42.28647861,2015-02-07 05:04:52.0000000,2015-02-07 00:04:52.0000000,02/07/15,15,00:04:52.00,BOSTON,MA,2131,BIRCH ST,US,5346462
137298,5346440,63417815,NCID,426435,8,0,195,0,SNOW383 02/07/2015 12:04:26 AM EST 17 mph,24.5,MOVING UPDATE,SNOW383,17.398,S,0,-71.08665528,42.29920333,2015-02-07 05:04:26.0000000,2015-02-07 00:04:26.0000000,02/07/15,751,00:04:26.00,BOSTON,MA,2121,ESMOND ST,US,5346465
137299,5346441,63417817,NCID,440231,0,3,382,0,MB950-H00302 02/06/2015 05:19:49 AM EST Stop: 18H:45M,3,OTHER,MB950-H00302,0,,67520,-71.06190056,42.34072583,2015-02-07 05:05:09.0000000,2015-02-07 00:05:09.0000000,02/07/15,NA,00:05:09.00,BOSTON,MA,2118,,US,5346466
137300,5346446,63417822,NCID,440145,8,0,183,0,MB1177-H02301 02/07/2015 12:05:36 AM EST 5 mph,11.5,MOVING UPDATE,MB1177-H02301,5.592,S,0,-71.06194,42.37105194,2015-02-07 05:05:35.0000000,2015-02-07 00:05:35.0000000,02/07/15,NA,00:05:35.00,BOSTON,MA,2129,NEW RUTHERFORD AVE,US,5346471
137301,5346447,63417831,NCID,440231,38,3,382,0,MB950-H00302 02/06/2015 05:19:49 AM EST Stop: 18H:45M,3,OTHER,MB950-H00302,0,,67550,-71.06190056,42.34072583,2015-02-07 05:05:41.0000000,2015-02-07 00:05:41.0000000,02/07/15,NA,00:05:41.00,BOSTON,MA,2118,,US,5346472
137302,5346448,63417832,NCID,440231,1,3,382,0,MB950-H00302 02/06/2015 05:19:49 AM EST Stop: 18H:45M,3,OTHER,MB950-H00302,0,,67520,-71.06190056,42.34072583,2015-02-07 05:05:12.0000000,2015-02-07 00:05:12.0000000,02/07/15,NA,00:05:12.00,BOSTON,MA,2118,,US,5346473
137303,5346449,63417833,NCID,440231,37,3,382,0,MB950-H00302 02/06/2015 05:19:49 AM EST Stop: 18H:45M,3,OTHER,MB950-H00302,0,,67520,-71.06190056,42.34072583,2015-02-07 05:05:15.0000000,2015-02-07 00:05:15.0000000,02/07/15,NA,00:05:15.00,BOSTON,MA,2118,,US,5346474
137304,5346450,63417834,NCID,440231,19,3,382,0,MB950-H00302 02/06/2015 05:19:49 AM EST Stop: 18H:45M,3,OTHER,MB950-H00302,0,,67550,-71.06190056,42.34072583,2015-02-07 05:05:45.0000000,2015-02-07 00:05:45.0000000,02/07/15,NA,00:05:45.00,BOSTON,MA,2118,,US,5346475
137305,5346451,63417835,NCID,318977,8,0,49,0,MB961-H13310 02/07/2015 12:05:38 AM EST 5 mph,5.2,MOVING UPDATE,MB961-H13310,5.592,NE,0,-71.10547944,42.33394472,2015-02-07 05:05:37.0000000,2015-02-07 00:05:37.0000000,02/07/15,741,00:05:37.00,BOSTON,MA,2115,FENWOOD RD,US,5346476
137307,5346453,63417837,NCID,426435,8,0,222,0,SNOW383 02/07/2015 12:02:11 AM EST 26 mph,24.6,MOVING UPDATE,SNOW383,26.719,SW,0,-71.08267472,42.30402028,2015-02-07 05:02:11.0000000,2015-02-07 00:02:11.0000000,02/07/15,48,00:02:11.00,BOSTON,MA,2121,SEAVER ST,US,5346478
137308,5346456,63417854,NCID,426325,8,0,45,0,SNOW328 02/07/2015 12:04:51 AM EST 6 mph,20.2,MOVING UPDATE,SNOW328,6.214,NE,0,-71.05656083,42.37516861,2015-02-07 05:04:51.0000000,2015-02-07 00:04:51.0000000,02/07/15,69,00:04:51.00,BOSTON,MA,2129,5TH ST,US,5346481
137309,5346463,63417865,NCID,319029,37,2,382,0,MB1132-H12216 02/06/2015 11:50:39 PM EST Stop: 0H:15M,5,OTHER,MB1132-H12216,0,,940,-71.15385306,42.28679944,2015-02-07 05:06:21.0000000,2015-02-07 00:06:21.0000000,02/07/15,1833,00:06:21.00,BOSTON,MA,2132,MAPLE ST,US,5346488
137310,5346466,63417868,NCID,426325,8,0,327,0,SNOW328 02/07/2015 12:02:41 AM EST 15 mph,20.8,MOVING UPDATE,SNOW328,15.534,NW,0,-71.05966667,42.36875278,2015-02-07 05:02:41.0000000,2015-02-07 00:02:41.0000000,02/07/15,NA,00:02:41.00,BOSTON,MA,2114,BOSTON HARBORWALK,US,5346491
137311,5346469,63417871,NCID,464611,3,1,382,0,MB796-H14307 02/07/2015 12:01:53 AM EST Stop: 0H:4M,4,MOVING,MB796-H14307,0,,270,-71.09431194,42.29319306,2015-02-07 05:06:22.0000000,2015-02-07 00:06:22.0000000,02/07/15,250,00:06:22.00,BOSTON,MA,2124,KINGBIRD RD,US,5346494
137312,5346470,63417872,NCID,464611,5,0,34,0,MB796-H14307 02/07/2015 12:06:24 AM EST 5 mph,4.2,MOVING CONFIRMATION,MB796-H14307,5.592,NE,0,-71.09414667,42.29344833,2015-02-07 05:06:23.0000000,2015-02-07 00:06:23.0000000,02/07/15,236,00:06:23.00,BOSTON,MA,2124,KINGBIRD RD,US,5346495
137313,5346471,63417873,NCID,426325,8,0,54,0,SNOW328 02/07/2015 12:03:46 AM EST 1 mph,20.2,MOVING UPDATE,SNOW328,1.864,NE,0,-71.060965,42.37176778,2015-02-07 05:03:46.0000000,2015-02-07 00:03:46.0000000,02/07/15,NA,00:03:46.00,BOSTON,MA,2129,CITY SQ,US,5346496
137314,5346473,63417875,NCID,319097,2,0,321,0,MB2184-H11201 02/07/2015 12:06:46 AM EST 1 mph,5.8,STOP,MB2184-H11201,1.243,NW,0,-71.07084917,42.35984333,2015-02-07 05:06:44.0000000,2015-02-07 00:06:44.0000000,02/07/15,58,00:06:44.00,BOSTON,MA,2114,REVERE ST,US,5346498
137315,5346474,63417876,NCID,446075,8,0,382,1,MB1813-H13203 02/07/2015 12:00:06 AM EST 5 mph,22,MOVING UPDATE,MB1813-H13203,5.592,N,0,-71.06109056,42.31963722,2015-02-07 05:06:24.0000000,2015-02-07 00:06:24.0000000,02/07/15,9,00:06:24.00,BOSTON,MA,2125,E COTTAGE ST,US,5346499
137316,5346478,63417889,NCID,426465,8,0,258,0,SNOW398 02/07/2015 12:02:07 AM EST 26 mph,28.7,MOVING UPDATE,SNOW398,26.719,W,0,-71.06743444,42.3354075,2015-02-07 05:02:07.0000000,2015-02-07 00:02:07.0000000,02/07/15,NA,00:02:07.00,BOSTON,MA,2118,MASS AVE CONN,US,5346503
137317,5346480,63417891,NCID,426019,8,0,39,0,SNOW175 02/07/2015 12:02:04 AM EST 15 mph,30.2,MOVING UPDATE,SNOW175,15.534,NE,0,-71.06142611,42.32044611,2015-02-07 05:02:04.0000000,2015-02-07 00:02:04.0000000,02/07/15,NA,00:02:04.00,BOSTON,MA,2125,BOSTON ST,US,5346505
137318,5346482,63417893,NCID,426465,8,0,253,0,SNOW398 02/07/2015 12:04:16 AM EST 4 mph,28.7,MOVING UPDATE,SNOW398,4.35,W,0,-71.07478917,42.33130389,2015-02-07 05:04:16.0000000,2015-02-07 00:04:16.0000000,02/07/15,17,00:04:16.00,BOSTON,MA,2119,HAMPDEN ST,US,5346507
137319,5346486,63417904,NCID,449399,3,1,382,0,MB2895-H13209 02/07/2015 12:01:38 AM EST Stop: 0H:5M,6,MOVING,MB2895-H13209,0,,310,-71.02769194,42.38150611,2015-02-07 05:06:50.0000000,2015-02-07 00:06:50.0000000,02/07/15,NA,00:06:50.00,BOSTON,MA,2128,,US,5346511
137320,5346487,63417905,NCID,449399,5,0,73,0,MB2895-H13209 02/07/2015 12:06:51 AM EST 5 mph,6.3,MOVING CONFIRMATION,MB2895-H13209,5.592,E,0,-71.02763194,42.38157,2015-02-07 05:06:51.0000000,2015-02-07 00:06:51.0000000,02/07/15,340,00:06:51.00,BOSTON,MA,2128,LEXINGTON ST,US,5346512
137321,5346488,63417906,NCID,426465,8,0,225,0,SNOW398 02/07/2015 12:02:57 AM EST 1 mph,28.6,MOVING UPDATE,SNOW398,1.864,SW,0,-71.07189194,42.33296139,2015-02-07 05:02:57.0000000,2015-02-07 00:02:57.0000000,02/07/15,NA,00:02:57.00,BOSTON,MA,2118,MASSACHUSETTS AVE,US,5346513
137322,5346489,63417907,NCID,426019,2,0,382,0,SNOW175 02/07/2015 12:06:24 AM EST 0 mph,30,STOP,SNOW175,0,N,0,-71.05716694,42.32920111,2015-02-07 05:06:24.0000000,2015-02-07 00:06:24.0000000,02/07/15,10,00:06:24.00,BOSTON,MA,2127,DORCHESTER AVE,US,5346514
137323,5346491,63417919,NCID,318987,3,0,382,0,MB891-H13307 02/07/2015 12:06:32 AM EST 0 mph,5,MOVING,MB891-H13307,0,N,30,-71.08896972,42.29759194,2015-02-07 05:07:02.0000000,2015-02-07 00:07:02.0000000,02/07/15,42,00:07:02.00,BOSTON,MA,2124,CALDER ST,US,5346516
137324,5346492,63417920,NCID,318987,5,0,60,0,MB891-H13307 02/07/2015 12:07:02 AM EST 5 mph,5.2,MOVING CONFIRMATION,MB891-H13307,5.592,NE,0,-71.08881333,42.29768139,2015-02-07 05:07:03.0000000,2015-02-07 00:07:03.0000000,02/07/15,40,00:07:03.00,BOSTON,MA,2124,CALDER ST,US,5346517
137325,5346494,63417922,NCID,319045,8,0,87,0,MB2274-H12206 02/07/2015 12:04:38 AM EST 22 mph,5.3,MOVING UPDATE,MB2274-H12206,22.991,E,0,-71.14329806,42.28610472,2015-02-07 05:04:38.0000000,2015-02-07 00:04:38.0000000,02/07/15,285,00:04:38.00,BOSTON,MA,2131,REXHAME ST,US,5346519
137326,5346495,63417923,NCID,319045,8,0,87,0,MB2274-H12206 02/07/2015 12:05:38 AM EST 26 mph,5.3,MOVING UPDATE,MB2274-H12206,26.098,E,0,-71.13621389,42.28630361,2015-02-07 05:05:38.0000000,2015-02-07 00:05:38.0000000,02/07/15,137,00:05:38.00,BOSTON,MA,2131,PENFIELD ST,US,5346520
137327,5346496,63417924,NCID,319045,8,0,130,0,MB2274-H12206 02/07/2015 12:06:38 AM EST 13 mph,5.4,MOVING UPDATE,MB2274-H12206,13.67,SE,0,-71.12962389,42.28606583,2015-02-07 05:06:38.0000000,2015-02-07 00:06:38.0000000,02/07/15,39,00:06:38.00,BOSTON,MA,2131,COHASSET ST,US,5346521
137328,5346499,63417927,NCID,440175,2,0,277,0,MB2286-H08221 02/07/2015 12:07:16 AM EST 0 mph,29.7,STOP,MB2286-H08221,0,W,0,-71.06164083,42.33957722,2015-02-07 05:07:14.0000000,2015-02-07 00:07:14.0000000,02/07/15,NA,00:07:14.00,BOSTON,MA,2118,,US,5346524
137329,5346500,63417929,NCID,435251,8,0,51,0,MB786-H12318 02/07/2015 12:06:44 AM EST 24 mph,12.2,MOVING UPDATE,MB786-H12318,24.233,NE,0,-71.12655861,42.25432611,2015-02-07 05:06:43.0000000,2015-02-07 00:06:43.0000000,02/07/15,27,00:06:43.00,BOSTON,MA,2136,BARRY ST,US,5346525
137330,5346501,63417930,NCID,426011,8,0,340,0,SNOW171 02/07/2015 12:03:38 AM EST 28 mph,4.1,MOVING UPDATE,SNOW171,28.583,N,0,-71.0357575,42.34197361,2015-02-07 05:03:38.0000000,2015-02-07 00:03:38.0000000,02/07/15,NA,00:03:38.00,BOSTON,MA,2210,POWER HOUSE ST,US,5346526
137331,5346503,63417932,NCID,426011,8,0,87,0,SNOW171 02/07/2015 12:04:43 AM EST 19 mph,4.3,MOVING UPDATE,SNOW171,19.884,E,0,-71.03563417,42.34463444,2015-02-07 05:04:43.0000000,2015-02-07 00:04:43.0000000,02/07/15,9,00:04:43.00,BOSTON,MA,2210,HARBOR ST,US,5346528
